행정동,노인(남),노인(여),독거노인(남),독거노인(여),데이터기준일자
일동,1745,2198,553,822,2025-08-31
이동,1801,2054,649,840,2025-08-31
사동,2086,2874,542,1119,2025-08-31
사이동,2091,2516,371,748,2025-08-31
해양동,1936,1854,131,296,2025-08-31
본오1동,2426,2872,748,1126,2025-08-31
본오2동,1909,2318,388,796,2025-08-31
본오3동,1522,1855,398,660,2025-08-31
부곡동,1538,1878,460,661,2025-08-31
월피동,2610,3016,691,1080,2025-08-31
성포동,2036,2362,187,612,2025-08-31
반월동,2096,2488,428,764,2025-08-31
안산동,1025,1166,282,385,2025-08-31
와동,2387,2912,715,1078,2025-08-31
고잔동,1383,1870,326,653,2025-08-31
중앙동,1503,1626,251,423,2025-08-31
호수동,2685,2512,283,477,2025-08-31
원곡동,717,768,353,373,2025-08-31
백운동,1769,1900,192,378,2025-08-31
신길동,1697,1867,414,552,2025-08-31
초지동,2913,3660,575,1300,2025-08-31
선부1동,1238,1515,339,654,2025-08-31
선부2동,1266,1359,463,552,2025-08-31
선부3동,2144,2450,472,834,2025-08-31
대부동,1667,1749,583,659,2025-08-31
